x,y,z,label
46.67,6.66,106.67,0
46.66,6.66,106.67,0
46.66,6.66,106.67,0
53.33,13.33,106.67,0
46.66,6.66,106.67,0
46.66,6.66,106.67,0
53.33,6.66,106.67,0
40,6.66,106.67,0
46.67,6.66,106.67,0
46.67,6.66,106.67,0
46.67,13.33,106.67,0
46.66,6.66,106.67,0
40,6.66,106.67,0
46.66,6.67,106.67,0
33.33,6.66,106.67,0
33.33,0,106.67,0
40,6.67,106.67,0
40,6.67,106.67,0
33.33,6.67,106.67,0
40,6.67,106.67,0
33.33,6.67,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
46.67,6.66,106.67,0
40,6.66,106.67,0
40,0,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
46.67,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,13.33,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
53.33,6.66,106.67,0
46.67,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,13.33,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
46.67,6.66,106.67,0
46.67,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
46.67,6.66,106.67,0
40,6.66,106.67,0
40,6.66,106.67,0
46.67,6.66,106.67,0
53.34,0,106.67,0
46.67,0,106.67,0
46.67,0,106.67,0
46.67,0,106.67,0
46.67,0,106.67,0
40,0,106.67,0
46.67,13.33,106.67,0
46.67,0,106.67,0
40,6.67,106.67,0
113.34,20,213.34,1
113.34,13.33,213.34,1
113.34,13.33,200,1
113.34,13.33,213.34,1
113.34,13.33,226.67,1
113.34,13.33,220,1
113.34,20,233.33,1
113.34,13.33,213.34,1
113.34,13.33,220,1
113.34,13.33,220,1
113.34,13.33,220,1
113.34,6.66,213.34,1
113.34,13.33,206.67,1
113.34,13.33,213.34,1
113.34,6.66,213.34,1
113.34,13.33,213.34,1
113.34,13.33,220,1
113.34,13.33,213.34,1
113.34,6.66,220,1
113.34,20,213.34,1
113.34,13.33,213.34,1
113.34,6.66,213.34,1
113.34,13.33,220,1
113.34,13.33,213.34,1
113.34,13.33,220,1
113.34,13.33,213.34,1
113.34,20,233.33,1
113.34,20,213.34,1
113.34,13.33,213.34,1
113.34,13.33,213.34,1
113.34,13.33,213.34,1
113.34,13.33,213.34,1
113.34,20,213.34,1
113.34,6.66,220,1
113.34,13.33,213.33,1
113.34,13.33,233.33,1
113.34,13.33,213.34,1
113.34,13.33,213.34,1
113.34,6.66,213.34,1
113.34,13.33,213.34,1
113.34,13.33,220,1
113.34,13.33,220,1
113.34,20,213.34,1
113.34,6.66,213.34,1
113.34,13.33,220,1
113.34,20,220,1
113.34,20,220,1
113.34,20,233.33,1
113.34,13.33,220,1
113.34,20,220,1
113.34,13.33,220,1
113.34,13.33,220,1
113.34,13.33,213.34,1
113.34,20,213.34,1
113.34,13.33,220,1
106.67,13.33,246.67,1
113.34,20,220,1
113.34,20,213.34,1
113.34,13.33,233.33,1
113.34,13.33,220,1
113.34,6.66,213.34,1
113.34,13.33,213.34,1
113.34,6.66,246.67,1
113.34,20,233.33,1
113.34,20,233.33,1
100,13.33,246.67,1
113.34,6.66,233.34,1
113.34,13.33,213.34,1
113.34,20,220,1
113.34,20,233.33,1
100,20,246.67,1
113.34,20,220,1
113.34,13.33,233.33,1
113.34,20,233.33,1
113.34,20,233.33,1
113.34,20,233.33,1
113.34,20,233.33,1
113.34,20,220,1
113.34,13.33,233.33,1
113.34,20,246.67,1
113.34,20,233.33,1
113.34,13.33,226.67,1
113.34,20,220,1
113.34,20,220,1
113.34,13.33,233.33,1
113.34,20,220,1
113.34,20,246.67,1
113.34,20,220,1
100,13.33,246.67,1
113.34,20,206.67,1
113.34,13.33,220,1
113.34,20,233.34,1
113.34,20,233.33,1
113.34,20,233.34,1
113.34,20,233.33,1
100,6.66,246.67,1
113.34,13.33,220,1
113.34,13.33,220,1
100,13.33,246.67,1
113.34,20,226.67,1
113.34,13.33,233.33,1
113.34,20,233.33,1
113.34,13.33,246.67,1
113.34,13.33,233.34,1
113.34,20,226.67,1
113.34,20,233.33,1
113.34,20,246.67,1
113.34,20,233.33,1
113.34,20,213.34,1
113.34,13.33,233.34,1
100,13.33,246.67,1
113.34,13.33,233.33,1
113.34,20,213.34,1
113.34,20,220,1
106.67,13.33,246.67,1
106.67,20,246.67,1
106.67,13.33,246.67,1
113.34,13.33,233.33,1
113.34,13.33,246.67,1
113.34,20,233.33,1
100,13.33,246.67,1
113.34,20,220,1
113.34,13.33,220,1
106.67,13.33,246.67,1
113.34,13.33,233.33,1
113.34,13.33,233.33,1
113.34,20,220,1
113.34,6.66,213.34,1
100,13.33,246.67,1
113.34,6.66,213.34,1
113.34,6.66,233.33,1
113.34,13.33,233.33,1
113.34,20,246.67,1
113.34,20,220,1
106.67,20,246.67,1
106.67,13.33,246.67,1
113.34,20,213.34,1
113.34,20,220,1
113.34,20,233.33,1
113.34,13.33,220,1
113.34,20,233.33,1
113.34,20,213.34,1
113.34,13.33,220,1
113.34,20,206.67,1
106.67,20,246.67,1
113.34,13.33,233.34,1
113.34,13.33,220,1
113.34,13.33,246.67,1
113.34,20,220,1
113.34,6.66,220,1
113.34,20,233.33,1
113.34,6.66,220,1
113.34,20,206.67,1
113.34,20,233.33,1
113.34,13.33,220,1
113.34,13.33,220,1
113.34,13.33,213.34,1
113.34,13.33,213.34,1
113.34,13.33,233.33,1
113.34,20,213.34,1
113.34,20,220,1
106.67,13.33,246.67,1
93.33,13.33,246.67,1
113.34,20,233.33,1
113.34,13.33,220,1
113.34,13.33,233.33,1
113.34,20,233.33,1
113.34,20,220,1
113.34,20,233.33,1
106.67,20,246.67,1
113.34,13.33,206.67,1
113.34,13.33,213.34,1
113.34,20,220,1
113.34,13.33,220,1
113.34,13.33,220,1
113.34,13.33,246.67,1
106.67,13.33,246.67,1
113.34,13.33,220,1
113.34,20,220,1
113.34,20,220,1
113.34,13.33,233.33,1
113.34,13.33,220,1
113.34,20,220,1
113.34,20,220,1
113.34,13.33,233.33,1
100,13.33,246.67,1
113.34,20,213.34,1
113.34,13.33,220,1
106.67,13.33,246.67,1
113.34,13.33,213.34,1
113.34,13.33,233.33,1
113.34,20,220,1
113.34,20,220,1
106.67,20,246.67,1
100,13.33,246.67,1
106.67,13.33,246.67,1
113.34,20,213.33,1
113.34,13.33,220,1
113.34,13.33,233.33,1
113.34,20,226.67,1
113.34,13.33,246.67,1
100,20,246.67,1
106.67,20,246.67,1
106.67,13.33,246.67,1
113.34,13.33,246.67,1
113.34,13.33,233.33,1
106.67,13.33,246.67,1
113.34,20,220,1
113.34,20,220,1
113.34,20,233.33,1
113.34,13.33,220,1
113.34,20,213.34,1
113.34,20,220,1
113.34,20,220,1
113.34,6.66,213.34,1
113.34,13.33,213.34,1
113.34,13.33,246.67,1
113.34,13.33,220,1
113.34,13.33,233.34,1
113.34,20,213.34,1
100,13.33,246.67,1
106.67,13.33,246.67,1
113.34,20,220,1
113.34,6.66,233.33,1
113.34,13.33,213.33,1
113.34,13.33,213.33,1
113.34,13.33,220,1
100,20,246.67,1
113.34,20,233.33,1
113.34,13.33,233.33,1
113.34,13.33,233.33,1
113.34,13.33,220,1
113.34,20,213.34,1
113.34,13.33,220,1
113.34,13.33,220,1
100,20,246.67,1
113.34,20,213.34,1
113.34,13.33,220,1
113.34,6.66,220,1
113.34,13.33,220,1
113.34,13.33,213.34,1
113.34,13.33,213.34,1
113.34,13.33,213.34,1
113.34,13.33,206.67,1
113.34,13.33,220,1
113.34,13.33,213.34,1
113.34,20,220,1
100,6.66,246.67,1
113.34,13.33,220,1
113.34,13.33,220,1
113.34,20,220,1
113.34,13.33,206.67,1
113.34,13.33,220,1
113.34,6.66,213.33,1
113.34,20,246.67,1
113.34,13.33,220,1
113.34,13.33,213.33,1
113.34,20,220,1
100,13.33,246.67,1
113.34,13.33,220,1
113.34,13.33,220,1
113.34,13.33,220,1
113.34,13.33,213.33,1
113.34,6.66,206.67,1
113.34,13.33,220,1
113.34,13.33,220,1
113.34,13.33,213.33,1
113.34,13.33,226.67,1
113.34,13.33,220,1
113.34,13.33,213.33,1
113.34,13.33,220,1
113.34,13.33,213.33,1
113.34,13.33,213.33,1
113.34,13.33,213.33,1
113.34,13.33,233.34,1
113.34,20,220,1
113.34,26.66,213.33,1
113.34,6.67,220,1
113.34,6.67,213.33,1
113.34,6.67,213.33,1
113.34,6.67,206.67,1
113.34,20,226.67,1
113.34,20,226.67,1
113.34,26.66,213.33,1
113.34,6.67,226.67,1
113.34,20,226.67,1
113.34,20,226.67,1
113.34,20,226.67,1
113.34,26.66,220,1
113.34,20,226.67,1
113.34,20,226.67,1
113.34,20,226.67,1
113.34,20,226.67,1
113.34,20,220,1
113.34,13.33,220,1
113.34,13.33,213.34,1
113.34,20,220,1
113.34,6.67,220,1
113.34,20,220,1
113.34,13.33,206.67,1
113.34,13.33,226.67,1
100,13.33,233.34,1
100,13.33,233.34,1
100,13.33,233.34,1
100,13.33,233.34,1
100,13.33,233.34,1
106.67,6.67,233.34,1
100,13.33,233.34,1
106.67,13.33,233.34,1
106.67,13.33,233.34,1
113.34,26.66,233.34,1
106.67,13.33,233.34,1
113.34,13.33,233.34,1
106.67,13.33,233.34,1
106.67,13.33,233.34,1
